intersection_id,n_comparisons,n_wins,n_losses,win_rate
176275195,22,1,21,0.045454545454545456
177273181,4,0,4,0.0
178273039,28,4,24,0.14285714285714285
179265069,2,1,1,0.5
179265077,4,1,3,0.25
179274126,2,0,2,0.0
180271045,4,1,3,0.25
180271187,4,0,4,0.0
181263098,2,0,2,0.0
181265038,18,5,13,0.2777777777777778
181271108,4,0,4,0.0
181272016,4,0,4,0.0
181273107,4,1,3,0.25
181277036,14,2,12,0.14285714285714285
182268014,2,2,0,1.0
182270019,14,4,10,0.2857142857142857
182272213,4,3,1,0.75
182274179,8,2,6,0.25
183263018,2,2,0,1.0
183263020,18,6,12,0.3333333333333333
183264037,2,2,0,1.0
183268031,2,0,2,0.0
183268167,2,0,2,0.0
183272020,30,17,13,0.5666666666666667
183277002,30,12,18,0.4
183278091,4,3,1,0.75
184263029,2,2,0,1.0
184267042,2,0,2,0.0
184268129,2,2,0,1.0
184273056,2,0,2,0.0
184273072,12,3,9,0.25
185273145,2,1,1,0.5
185274084,2,1,1,0.5
185274093,2,0,2,0.0
185276028,2,2,0,1.0
185277012,2,2,0,1.0
186273103,4,0,4,0.0
186274160,8,2,6,0.25
186275023,4,4,0,1.0
186275043,4,4,0,1.0
186275130,4,0,4,0.0
186279088,4,4,0,1.0
187263039,4,4,0,1.0
187265053,6,5,1,0.8333333333333334
187270060,2,2,0,1.0
187271099,4,4,0,1.0
187274156,2,0,2,0.0
188266127,4,3,1,0.75
188269140,2,2,0,1.0
188274022,2,2,0,1.0
188274050,4,3,1,0.75
188278029,4,4,0,1.0
189267114,6,5,1,0.8333333333333334
189275160,2,2,0,1.0
189276040,2,0,2,0.0
190264011,2,2,0,1.0
190267091,2,2,0,1.0
190273120,6,5,1,0.8333333333333334
191269022,6,6,0,1.0
191272052,4,3,1,0.75
191275054,4,3,1,0.75
192266023,4,4,0,1.0
194264006,4,4,0,1.0
600097669,10,8,2,0.8
600111024,4,3,1,0.75
600409842,4,0,4,0.0
600483010,36,35,1,0.9722222222222222
600488624,10,9,1,0.9
