respondent_id,task_position,task_id,intersection_a,intersection_b,choice,winner,loser
565642399,1,1,182270019,186275023,2,186275023,182270019
565642399,2,2,184273072,600111024,2,600111024,184273072
565642399,3,3,181265038,182272213,2,182272213,181265038
565642399,4,4,183272020,188278029,2,188278029,183272020
565642399,5,5,181277036,188266127,2,188266127,181277036
565642399,6,6,181273107,600488624,2,600488624,181273107
565642399,7,7,184273072,600488624,2,600488624,184273072
565642399,8,8,600409842,600483010,2,600483010,600409842
565642399,9,9,183263020,194264006,2,194264006,183263020
565642399,10,10,182274179,190273120,2,190273120,182274179
565642399,11,11,181271108,182270019,2,182270019,181271108
565642399,12,12,178273039,191272052,2,191272052,178273039
565642399,13,13,176275195,183272020,2,183272020,176275195
565642399,14,14,178273039,183263020,2,183263020,178273039
565642399,15,15,181272016,600483010,2,600483010,181272016
565642399,16,16,181265038,183272020,2,183272020,181265038
565642399,17,17,177273181,186275043,2,186275043,177273181
565642399,18,18,183272020,600483010,2,600483010,183272020
565642399,19,19,183277002,187265053,2,187265053,183277002
565642399,20,20,178273039,183272020,2,183272020,178273039
565642399,21,21,181277036,188274050,2,188274050,181277036
565642399,22,22,176275195,183277002,2,183277002,176275195
565642399,23,23,182274179,600097669,2,600097669,182274179
565642399,24,24,183277002,600483010,2,600483010,183277002
565642399,25,25,180271045,600483010,2,600483010,180271045
565642399,26,26,183263020,183278091,2,183278091,183263020
565642399,27,27,186274160,189267114,2,189267114,186274160
565642399,28,28,181265038,600097669,2,600097669,181265038
565642399,29,29,179265077,183277002,2,183277002,179265077
565642399,30,30,186275130,191269022,2,191269022,186275130
565642399,31,31,176275195,187271099,2,187271099,176275195
565642399,32,32,176275195,600483010,2,600483010,176275195
565642399,33,33,183277002,192266023,2,192266023,183277002
565642399,34,34,178273039,187263039,2,187263039,178273039
565642399,35,35,186273103,186279088,2,186279088,186273103
565642399,36,36,178273039,191275054,2,191275054,178273039
851656988,1,1,182270019,186275023,2,186275023,182270019
851656988,2,2,184273072,600111024,1,184273072,600111024
851656988,3,3,181265038,182272213,1,181265038,182272213
851656988,4,4,183272020,188278029,2,188278029,183272020
851656988,5,5,181277036,188266127,1,181277036,188266127
851656988,6,6,181273107,600488624,1,181273107,600488624
851656988,7,7,184273072,600488624,2,600488624,184273072
851656988,8,8,600409842,600483010,2,600483010,600409842
851656988,9,9,183263020,194264006,2,194264006,183263020
851656988,10,10,182274179,190273120,1,182274179,190273120
851656988,11,11,181271108,182270019,2,182270019,181271108
851656988,12,12,178273039,191272052,1,178273039,191272052
851656988,13,13,176275195,183272020,1,176275195,183272020
851656988,14,14,178273039,183263020,1,178273039,183263020
851656988,15,15,181272016,600483010,2,600483010,181272016
851656988,16,16,181265038,183272020,1,181265038,183272020
851656988,17,17,177273181,186275043,2,186275043,177273181
851656988,18,18,183272020,600483010,2,600483010,183272020
851656988,19,19,183277002,187265053,1,183277002,187265053
851656988,20,20,178273039,183272020,1,178273039,183272020
851656988,21,21,181277036,188274050,1,181277036,188274050
851656988,22,22,176275195,183277002,2,183277002,176275195
851656988,23,23,182274179,600097669,1,182274179,600097669
851656988,24,24,183277002,600483010,2,600483010,183277002
851656988,25,25,180271045,600483010,1,180271045,600483010
851656988,26,26,183263020,183278091,1,183263020,183278091
851656988,27,27,186274160,189267114,2,189267114,186274160
851656988,28,28,181265038,600097669,1,181265038,600097669
851656988,29,29,179265077,183277002,1,179265077,183277002
851656988,30,30,186275130,191269022,2,191269022,186275130
851656988,31,31,176275195,187271099,2,187271099,176275195
851656988,32,32,176275195,600483010,2,600483010,176275195
851656988,33,33,183277002,192266023,2,192266023,183277002
851656988,34,34,178273039,187263039,2,187263039,178273039
851656988,35,35,186273103,186279088,2,186279088,186273103
851656988,36,36,178273039,191275054,1,178273039,191275054
935789013,1,1,182270019,186275023,2,186275023,182270019
935789013,2,2,184273072,600111024,2,600111024,184273072
935789013,3,3,181265038,182272213,2,182272213,181265038
935789013,4,4,183272020,188278029,2,188278029,183272020
935789013,5,5,181277036,188266127,2,188266127,181277036
935789013,6,6,181273107,600488624,2,600488624,181273107
935789013,7,7,184273072,600488624,2,600488624,184273072
935789013,8,8,600409842,600483010,2,600483010,600409842
935789013,9,9,183263020,194264006,2,194264006,183263020
935789013,10,10,182274179,190273120,2,190273120,182274179
935789013,11,11,181271108,182270019,2,182270019,181271108
935789013,12,12,178273039,191272052,2,191272052,178273039
