task_id,set_id,pair_id,is_anchor,pair_type,is_cross_stratum,intersection_a,intersection_b,alt1_att1_streetview,alt1_att2_intensiteit,alt2_att1_streetview,alt2_att2_intensiteit,intensity_wvk_a,intensity_wvk_b,stratum_a,stratum_b
1,1,8778571638133185686,False,hub_spoke,False,182270019,186275023,88196ba21bfffff/89196ba21b7ffff/8a196ba21b57fff/22_07259_front.jpg,Middelmatig,88196bb561fffff/89196bb560bffff/8a196bb560affff/66_00115_front.jpg,Laag,1300.0,450.0,4+_geen_voorrang,4+_geen_voorrang
2,1,-4545240531204341030,False,hub_spoke,False,184273072,600111024,88196bb52dfffff/89196bb52dbffff/8a196bb52daffff/530_00920_left.jpg,Middelmatig,88196bb565fffff/89196bb5643ffff/8a196bb56407fff/1_01631_front.jpg,Hoog,2725.0,10950.0,T_voorrang,T_voorrang
3,1,8832900587022308652,False,hub_spoke,False,181265038,182272213,88196ba28dfffff/89196ba28d7ffff/8a196ba28d67fff/362_00821_front.jpg,Hoog,88196bb525fffff/89196ba2527ffff/8a196bb525a7fff/553_00344_front.jpg,Hoog,6800.0,8200.0,4+_VRI,4+_VRI
4,1,-3857515554030487829,False,hub_spoke,False,183272020,188278029,88196bb52dfffff/89196bb52cbffff/8a196bb52c9ffff/32_04850_front.jpg,Hoog,88196bb093fffff/89196bb092bffff/8a196bb09287fff/12_03905_front.jpg,Hoog,9100.0,8500.0,4+_VRI,4+_VRI
5,1,-5926299512848756796,False,hub_spoke,False,181277036,188266127,88196ba24bfffff/89196ba24a7ffff/8a196ba24a57fff/70_03490_front.jpg,Middelmatig,88196bb533fffff/89196bb5327ffff/8a196bb5326ffff/414_00469_front.jpg,Middelmatig,5200.0,4200.0,4+_voorrang,4+_voorrang
6,1,-6705136954876638487,False,hub_spoke,False,181273107,600488624,88196ba257fffff/89196ba2563ffff/8a196ba25627fff/42_06050_front.jpg,Laag,88196bb565fffff/89196bb5643ffff/8a196bb56557fff/1_01590_front.jpg,Hoog,400.0,9100.0,T_voorrang,T_voorrang
7,1,1935339960263903279,False,backbone,False,184273072,600488624,88196bb52dfffff/89196bb52dbffff/8a196bb52daffff/530_00920_left.jpg,Middelmatig,88196bb565fffff/89196bb5643ffff/8a196bb56557fff/1_01590_front.jpg,Hoog,2725.0,9100.0,T_voorrang,T_voorrang
8,1,-8992997837158309802,False,hub_spoke,False,600409842,600483010,88196bb525fffff/89196bb5243ffff/8a196bb52407fff/41_03644_front.jpg,Hoog,88196bb501fffff/89196bb500fffff/8a196bb500cffff/252_00534_front.jpg,Laag,6200.0,350.0,4+_geen_voorrang,4+_geen_voorrang
9,1,-7902738429165886650,False,hub_spoke,False,183263020,194264006,88196ba2d5fffff/89196ba2d4fffff/8a196ba2d4cffff/392_02331_front.jpg,Middelmatig,88196bb5c7fffff/89196bb5c67ffff/8a196bb5c667fff/430_01807_front.jpg,Middelmatig,1200.0,2650.0,T_geen_voorrang,T_geen_voorrang
10,1,9183338939818722740,False,within,False,182274179,190273120,88196ba253fffff/89196ba2533ffff/8a196ba25337fff/2_01537_front.jpg,Middelmatig,88196bb509fffff/89196bb508fffff/8a196bb50857fff/523_03029_front.jpg,Hoog,4300.0,21550.0,4+_VRI,4+_VRI
11,1,6280520110744236443,False,hub_spoke,False,181271108,182270019,88196ba21bfffff/89196ba21bbffff/8a196ba21bb7fff/24_02105_front.jpg,Laag,88196ba21bfffff/89196ba21b7ffff/8a196ba21b57fff/22_07259_front.jpg,Middelmatig,350.0,1300.0,4+_geen_voorrang,4+_geen_voorrang
12,1,8619578805401425825,False,hub_spoke,False,178273039,191272052,88196ba20bfffff/89196ba20afffff/8a196ba20ac7fff/84_00130_front.jpg,Laag,88196bb50bfffff/89196bb50a3ffff/8a196bb50a0ffff/8_02411_front.jpg,Middelmatig,400.0,1150.0,T_geen_voorrang,T_geen_voorrang
13,1,3986832659416779073,True,backbone,True,176275195,183272020,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/45_00787_front.jpg,Hoog,88196bb52dfffff/89196bb52cbffff/8a196bb52c9ffff/32_04850_front.jpg,Hoog,6450.0,9100.0,T_VRI,4+_VRI
14,1,-5234961688605008854,True,backbone,False,178273039,183263020,88196ba20bfffff/89196ba20afffff/8a196ba20ac7fff/84_00130_front.jpg,Laag,88196ba2d5fffff/89196ba2d4fffff/8a196ba2d4cffff/392_02331_front.jpg,Middelmatig,400.0,1200.0,T_geen_voorrang,T_geen_voorrang
15,1,-5133103338686999191,False,hub_spoke,False,181272016,600483010,88196ba219fffff/89196ba219bffff/8a196ba219affff/42_01017_front.jpg,Laag,88196bb501fffff/89196bb500fffff/8a196bb500cffff/252_00534_front.jpg,Laag,750.0,350.0,4+_geen_voorrang,4+_geen_voorrang
16,1,2170647662226819517,False,backbone,False,181265038,183272020,88196ba28dfffff/89196ba28d7ffff/8a196ba28d67fff/362_00821_front.jpg,Hoog,88196bb52dfffff/89196bb52cbffff/8a196bb52c9ffff/32_04850_front.jpg,Hoog,6800.0,9100.0,4+_VRI,4+_VRI
17,1,7599385310139867430,False,within,False,177273181,186275043,88196ba201fffff/89196ba2003ffff/8a196ba2002ffff/83_01707_front.jpg,Middelmatig,88196bb561fffff/89196bb560bffff/8a196bb5608ffff/32_01876_front.jpg,Hoog,5700.0,7050.0,4+_VRI,4+_VRI
18,1,5576881699999255756,True,backbone,True,183272020,600483010,88196bb52dfffff/89196bb52cbffff/8a196bb52c9ffff/32_04850_front.jpg,Hoog,88196bb501fffff/89196bb500fffff/8a196bb500cffff/252_00534_front.jpg,Laag,9100.0,350.0,4+_VRI,4+_geen_voorrang
19,1,-2069317661083060852,False,hub_spoke,False,183277002,187265053,88196bb0b3fffff/89196bb0b2fffff/8a196bb0b2f7fff/129_02207_front.jpg,Middelmatig,88196ba2d9fffff/89196ba2d87ffff/8a196ba2d847fff/373_00074_front.jpg,Hoog,1100.0,8750.0,4+_voorrang,4+_voorrang
20,1,-6195100666187080972,True,backbone,True,178273039,183272020,88196ba20bfffff/89196ba20afffff/8a196ba20ac7fff/84_00130_front.jpg,Laag,88196bb52dfffff/89196bb52cbffff/8a196bb52c9ffff/32_04850_front.jpg,Hoog,400.0,9100.0,T_geen_voorrang,4+_VRI
21,1,-3748085998032583295,False,hub_spoke,False,181277036,188274050,88196ba24bfffff/89196ba24a7ffff/8a196ba24a57fff/70_03490_front.jpg,Middelmatig,88196bb56bfffff/89196bb50dbffff/8a196bb50db7fff/32_07543_front.jpg,Laag,5200.0,850.0,4+_voorrang,4+_voorrang
22,1,6798175148834520986,True,backbone,True,176275195,183277002,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/45_00787_front.jpg,Hoog,88196bb0b3fffff/89196bb0b2fffff/8a196bb0b2f7fff/129_02207_front.jpg,Middelmatig,6450.0,1100.0,T_VRI,4+_voorrang
23,1,1212158133809563129,False,within,False,182274179,600097669,88196ba253fffff/89196ba2533ffff/8a196ba25337fff/2_01537_front.jpg,Middelmatig,88196bb5cdfffff/89196bb5cdbffff/8a196bb5cdaffff/434_02518_front.jpg,Hoog,4300.0,8850.0,4+_VRI,4+_VRI
24,1,-5982464523462875125,True,backbone,True,183277002,600483010,88196bb0b3fffff/89196bb0b2fffff/8a196bb0b2f7fff/129_02207_front.jpg,Middelmatig,88196bb501fffff/89196bb500fffff/8a196bb500cffff/252_00534_front.jpg,Laag,1100.0,350.0,4+_voorrang,4+_geen_voorrang
25,1,-3824722634470151778,False,hub_spoke,False,180271045,600483010,88196ba21dfffff/89196ba21c7ffff/8a196ba21c77fff/86_03475_front.jpg,Laag,88196bb501fffff/89196bb500fffff/8a196bb500cffff/252_00534_front.jpg,Laag,350.0,350.0,4+_geen_voorrang,4+_geen_voorrang
26,1,153313293269745900,False,hub_spoke,False,183263020,183278091,88196ba2d5fffff/89196ba2d4fffff/8a196ba2d4cffff/392_02331_front.jpg,Middelmatig,88196bb0b1fffff/89196bb0b0fffff/8a196bb0b0effff/32_00589_front.jpg,Middelmatig,1200.0,2725.0,T_geen_voorrang,T_geen_voorrang
27,1,-7214380194981247469,False,within,False,186274160,189267114,88196bb563fffff/89196bb563bffff/8a196bb56387fff/29_02560_front.jpg,Hoog,88196bb53bfffff/89196bb53a7ffff/8a196bb53a6ffff/554_00091_front.jpg,Middelmatig,7950.0,1050.0,4+_VRI,4+_VRI
28,1,3940867233243102683,False,hub_spoke,False,181265038,600097669,88196ba28dfffff/89196ba28d7ffff/8a196ba28d67fff/362_00821_front.jpg,Hoog,88196bb5cdfffff/89196bb5cdbffff/8a196bb5cdaffff/434_02518_front.jpg,Hoog,6800.0,8850.0,4+_VRI,4+_VRI
29,1,120586967349262392,False,hub_spoke,False,179265077,183277002,88196ba2e3fffff/89196ba2eafffff/8a196ba2e32ffff/362_01023_front.jpg,Hoog,88196bb0b3fffff/89196bb0b2fffff/8a196bb0b2f7fff/129_02207_front.jpg,Middelmatig,7650.0,1100.0,4+_voorrang,4+_voorrang
30,1,-297374152665823668,False,diagonal,True,186275130,191269022,88196bb561fffff/89196bb5603ffff/8a196bb5600ffff/187_01833_front.jpg,Laag,88196bb511fffff/89196bb510bffff/8a196bb5108ffff/244_03014_front.jpg,Hoog,200.0,9550.0,4+_voorrang,T_VRI
31,1,-9108734365649743877,False,hub_spoke,False,176275195,187271099,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/45_00787_front.jpg,Hoog,88196bb52bfffff/89196bb52b7ffff/8a196bb52b4ffff/237_00920_front.jpg,Middelmatig,6450.0,2725.0,T_VRI,T_VRI
