task_id,set_id,alt1_img1,alt2_img1,alt3_img1
1,1,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true
2,1,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true
3,1,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true
4,1,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
5,1,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true
6,1,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true
7,1,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true
8,1,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true
9,2,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true
10,2,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true
11,2,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true
12,2,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true
13,2,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true
14,2,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
