intersection_id,leg_bearing,photo_filename,photo_dist_m,u_deg,photo_x,photo_y,photo_bearing_to_inter,candidate_rank,is_panorama,selected_direction,photo_filepath,filepath_front,filepath_right,filepath_back,filepath_left,requires_stitch,stitch_left_filepath,stitch_right_filepath,stitch_inter_col_frac,neighbor_jte_id,WVK_ID,intensity_wvk,dim_type,dim_risk,dim_priority,dim_speed,is_centrum,direction_patched,quality_patched
176268014,290.5,364_02668,21.9,-76.6,88155.684,434068.292,283.4,1,False,front,88196ba233fffff/89196ba2323ffff/8a196ba2322ffff/364_02668_front.jpg,88196ba233fffff/89196ba2323ffff/8a196ba2322ffff/364_02668_front.jpg,88196ba233fffff/89196ba2323ffff/8a196ba2322ffff/364_02668_right.jpg,88196ba233fffff/89196ba2323ffff/8a196ba2322ffff/364_02668_back.jpg,88196ba233fffff/89196ba2323ffff/8a196ba2322ffff/364_02668_left.jpg,True,88196ba233fffff/89196ba2323ffff/8a196ba2322ffff/364_02668_left.jpg,88196ba233fffff/89196ba2323ffff/8a196ba2322ffff/364_02668_front.jpg,0.9498,600476473,601214576,3350.0,T,_,voorrang,_,False,False,False
176268028,151.7,364_03513,18.4,149.5,88271.734,434050.359,149.5,1,False,front,88196ba233fffff/89196ba2337ffff/8a196ba2335ffff/364_03513_front.jpg,88196ba233fffff/89196ba2337ffff/8a196ba2335ffff/364_03513_front.jpg,88196ba233fffff/89196ba2337ffff/8a196ba2335ffff/364_03513_right.jpg,88196ba233fffff/89196ba2337ffff/8a196ba2335ffff/364_03513_back.jpg,88196ba233fffff/89196ba2337ffff/8a196ba2335ffff/364_03513_left.jpg,True,88196ba233fffff/89196ba2337ffff/8a196ba2335ffff/364_03513_left.jpg,88196ba233fffff/89196ba2337ffff/8a196ba2335ffff/364_03513_front.jpg,0.98,176268031,601248852,250.0,4+,_,voorrang,_,False,False,False
176269017,331.3,364_04990,20.4,-28.3,88482.227,434572.258,331.7,1,False,front,88196ba23bfffff/89196ba23afffff/8a196ba23af7fff/364_04990_front.jpg,88196ba23bfffff/89196ba23afffff/8a196ba23af7fff/364_04990_front.jpg,88196ba23bfffff/89196ba23afffff/8a196ba23af7fff/364_04990_right.jpg,88196ba23bfffff/89196ba23afffff/8a196ba23af7fff/364_04990_back.jpg,88196ba23bfffff/89196ba23afffff/8a196ba23af7fff/364_04990_left.jpg,True,88196ba23bfffff/89196ba23afffff/8a196ba23af7fff/364_04990_left.jpg,88196ba23bfffff/89196ba23afffff/8a196ba23af7fff/364_04990_front.jpg,0.9925,177268034,176269016,300.0,4+,_,geen_voorrang,_,False,False,False
176274090,191.5,80_02032,19.6,-169.5,88225.578,437041.297,190.5,1,False,front,88196ba205fffff/89196ba2057ffff/8a196ba2054ffff/80_02032_front.jpg,88196ba205fffff/89196ba2057ffff/8a196ba2054ffff/80_02032_front.jpg,88196ba205fffff/89196ba2057ffff/8a196ba2054ffff/80_02032_right.jpg,88196ba205fffff/89196ba2057ffff/8a196ba2054ffff/80_02032_back.jpg,88196ba205fffff/89196ba2057ffff/8a196ba2054ffff/80_02032_left.jpg,True,88196ba205fffff/89196ba2057ffff/8a196ba2054ffff/80_02032_left.jpg,88196ba205fffff/89196ba2057ffff/8a196ba2054ffff/80_02032_front.jpg,0.9889,176274097,176274069,5050.0,T,_,voorrang,_,False,False,False
176275195,60.9,45_00787,13.9,66.4,88425.713,437627.633,66.4,1,False,front,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/45_00787_front.jpg,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/45_00787_front.jpg,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/45_00787_right.jpg,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/45_00787_back.jpg,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/45_00787_left.jpg,True,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/45_00787_left.jpg,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/45_00787_front.jpg,0.9877,176275201,176275075,6450.0,T,_,VRI,_,False,False,False
176275196,241.4,64_01306,24.5,-116.0,88409.584,437697.544,244.0,1,False,front,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/64_01306_front.jpg,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/64_01306_front.jpg,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/64_01306_right.jpg,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/64_01306_back.jpg,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/64_01306_left.jpg,True,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/64_01306_left.jpg,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/64_01306_front.jpg,0.9924,600181231,600890666,9700.0,4+,_,voorrang,_,False,False,True
177267010,149.1,364_05342,24.3,132.5,88805.174,433589.024,132.5,1,False,front,88196ba2edfffff/89196ba2ecfffff/8a196ba2eccffff/364_05342_front.jpg,88196ba2edfffff/89196ba2ecfffff/8a196ba2eccffff/364_05342_front.jpg,88196ba2edfffff/89196ba2ecfffff/8a196ba2eccffff/364_05342_right.jpg,88196ba2edfffff/89196ba2ecfffff/8a196ba2eccffff/364_05342_back.jpg,88196ba2edfffff/89196ba2ecfffff/8a196ba2eccffff/364_05342_left.jpg,True,88196ba2edfffff/89196ba2ecfffff/8a196ba2eccffff/364_05342_left.jpg,88196ba2edfffff/89196ba2ecfffff/8a196ba2eccffff/364_05342_front.jpg,0.8736,177267084,177267066,3300.0,4+,_,voorrang,_,False,False,False
177273181,83.1,83_01707,25.9,80.5,88825.752,436927.959,80.5,1,False,front,88196ba201fffff/89196ba2003ffff/8a196ba2002ffff/83_01707_front.jpg,88196ba201fffff/89196ba2003ffff/8a196ba2002ffff/83_01707_front.jpg,88196ba201fffff/89196ba2003ffff/8a196ba2002ffff/83_01707_right.jpg,88196ba201fffff/89196ba2003ffff/8a196ba2002ffff/83_01707_back.jpg,88196ba201fffff/89196ba2003ffff/8a196ba2002ffff/83_01707_left.jpg,True,88196ba201fffff/89196ba2003ffff/8a196ba2002ffff/83_01707_left.jpg,88196ba201fffff/89196ba2003ffff/8a196ba2002ffff/83_01707_front.jpg,0.9415,600181221,600723849,5700.0,4+,_,VRI,_,False,False,False
178264099,273.9,560_00928,26.5,-89.1,89215.882,432347.627,270.9,1,False,right,88196ba2e3fffff/89196ba2e2bffff/8a196ba2e2affff/560_00928_right.jpg,88196ba2e3fffff/89196ba2e2bffff/8a196ba2e2affff/560_00928_front.jpg,88196ba2e3fffff/89196ba2e2bffff/8a196ba2e2affff/560_00928_right.jpg,88196ba2e3fffff/89196ba2e2bffff/8a196ba2e2affff/560_00928_back.jpg,88196ba2e3fffff/89196ba2e2bffff/8a196ba2e2affff/560_00928_left.jpg,True,88196ba2e3fffff/89196ba2e2bffff/8a196ba2e2affff/560_00928_front.jpg,88196ba2e3fffff/89196ba2e2bffff/8a196ba2e2affff/560_00928_right.jpg,0.8969,600181348,600995505,3750.0,4+,_,VRI,_,False,False,False
178272015,307.4,18_01171,26.2,-47.3,89439.607,436200.528,312.7,1,False,front,88196ba21dfffff/89196ba2037ffff/8a196ba2036ffff/18_01171_front.jpg,88196ba21dfffff/89196ba2037ffff/8a196ba2036ffff/18_01171_front.jpg,88196ba21dfffff/89196ba2037ffff/8a196ba2036ffff/18_01171_right.jpg,88196ba21dfffff/89196ba2037ffff/8a196ba2036ffff/18_01171_back.jpg,88196ba21dfffff/89196ba2037ffff/8a196ba2036ffff/18_01171_left.jpg,True,88196ba21dfffff/89196ba2037ffff/8a196ba2036ffff/18_01171_left.jpg,88196ba21dfffff/89196ba2037ffff/8a196ba2036ffff/18_01171_front.jpg,0.9726,600181250,600906805,9900.0,4+,_,VRI,_,False,False,False
