intersection_id,leg_bearing
175268012,299.8
175268013,119.8
175272033,155.4
175273001,106.9
176267002,199.8
176267007,289.3
176267008,21.4
176267016,110.3
176268002,153.1
176268003,160.5
176268004,242.7
176268008,153.1
176268011,333.2
176268015,62.6
176268016,243.0
176268018,242.3
176268020,333.6
176268042,82.4
176269011,260.6
176269014,246.2
176269015,338.7
176269019,352.9
176269023,353.8
176269024,82.5
176269026,262.4
176269028,353.9
176273002,278.2
176273003,279.5
176273004,185.7
176273005,193.9
176273006,8.7
176273007,99.0
176273008,98.8
176273009,277.4
176273010,278.8
176273013,188.6
176273014,277.0
176273015,275.7
176273016,186.9
176273017,276.3
176273018,221.8
176273019,96.5
176273020,96.5
176273021,276.6
176273023,276.5
176273068,280.7
176273069,278.6
176273070,277.3
176273071,182.5
176273074,276.7
176273075,279.5
176274003,263.8
176274004,356.7
176274008,278.4
176274009,281.0
176274011,263.7
176274037,11.5
176274048,10.0
176274050,91.9
176274051,266.9
176274055,269.9
176274109,190.0
177266001,154.4
177266004,139.6
177266006,69.7
177266030,105.7
177267001,150.8
177267004,24.1
177267005,151.9
177267011,186.1
177267034,20.1
177267035,20.2
177267040,195.2
177267042,198.4
177267043,200.9
177267044,195.0
177267045,206.2
177267047,200.1
177267083,173.2
177267084,158.2
177268001,344.7
177268002,153.9
177268003,62.1
177268004,332.8
177268006,333.0
177268007,63.1
177268008,153.8
177268009,153.5
177268010,153.3
177268011,234.4
177268012,318.7
177268013,342.2
177268015,331.0
177268017,63.2
177268018,333.4
177268019,62.9
177268020,149.4
177268034,338.8
177269024,322.7
177269028,219.1
177269035,346.3
177269036,244.9
177269039,68.0
177271019,59.5
177272001,96.6
177272036,260.1
177273024,314.6
177273025,315.4
177273029,280.6
177273032,278.7
177273047,22.2
177273048,282.3
177273049,101.3
177273050,188.6
177273051,136.0
177273052,190.4
177273053,99.7
177273054,47.1
177273055,134.9
177273056,28.4
177273058,25.9
177273062,185.3
177273063,185.6
177273065,96.1
177273066,206.9
177273069,282.3
177273071,24.7
177273077,95.5
177273078,27.3
177273079,207.4
177273082,275.7
177273085,313.9
177273086,157.0
177273089,136.4
177273091,95.4
177273095,32.4
177273098,20.3
177273102,213.8
177273104,89.6
177273110,316.8
177273113,318.7
177273120,95.7
177273121,33.8
177273123,26.9
177273124,10.2
177273174,254.9
177274002,262.0
177274016,355.2
177274017,353.1
177274031,263.6
177274037,275.0
177274038,271.0
177274050,261.7
177274057,149.9
177274079,2.1
177274080,329.4
177275008,148.7
177275010,326.5
177275013,328.7
177275022,237.3
177275023,327.1
177275026,148.8
177275056,237.3
177275089,153.7
177275093,247.4
177275094,237.5
178263037,107.5
178263045,280.6
178263098,189.1
178264059,276.9
178264061,20.7
178264078,129.3
178264099,179.3
178265097,144.7
178265109,251.7
178266001,247.1
178271004,57.7
178271005,143.1
178271006,147.0
178272012,146.4
178272055,160.2
178272058,309.0
178272101,167.7
178272122,72.6
178272138,145.5
178273014,36.6
178273017,246.6
178273018,334.1
178273020,249.3
178273022,357.8
178273023,99.6
178273024,97.7
178273025,183.6
178273026,340.9
178273030,247.6
178273032,349.7
178273034,202.3
178273045,341.3
178273046,250.6
178273047,159.0
178273048,248.2
178273049,338.1
178273089,56.2
178273170,73.5
178273186,247.4
178273191,161.9
178273213,206.1
178273216,306.2
178273217,185.3
178273220,247.5
178274001,263.9
178274008,153.3
178274009,72.2
178274010,236.0
178274011,231.8
178274012,244.0
178274013,12.1
178274014,6.5
178274020,250.2
178274023,198.0
178274024,171.9
178274042,81.2
178274045,274.1
178274047,0.4
178274054,88.3
178274059,339.3
178274065,321.9
178274069,144.8
178274070,242.7
178275018,238.8
178276087,37.7
179263002,266.6
179263004,178.1
179263006,88.5
179263031,268.3
179263032,88.3
179263106,89.0
179264006,268.5
179264007,88.6
179264010,1.2
179264015,174.8
179264017,181.2
179265091,92.0
179269006,103.1
179269010,169.0
179270015,193.4
179271001,136.9
179271002,221.1
179271003,137.1
179271046,226.4
179271048,38.1
179272002,198.4
179272003,204.1
179272004,203.8
179272005,199.3
179272006,187.8
179272007,185.9
179272010,116.7
179272013,23.6
179272016,116.7
179272019,23.6
179272024,203.3
179272025,136.9
179272030,56.9
179272032,281.0
179272033,84.0
179272034,196.4
179272035,137.2
179272040,255.6
179272041,197.0
179272048,286.0
179272073,195.4
179272081,102.4
179272086,325.9
179272088,218.5
179272089,323.3
179272097,196.5
179272099,313.4
179273005,84.2
179273006,175.4
179273007,268.3
179273010,141.7
179273019,65.7
179273020,61.3
179273020,61.3
179273020,61.3
179273020,61.3
179273020,61.3
179273021,152.3
179273023,327.6
179273027,63.8
179273030,192.2
179273031,236.6
179273034,242.2
179273035,314.1
179273036,62.6
179273037,152.1
179273038,59.0
179273039,154.8
179273040,204.9
179273074,37.3
179273082,328.1
179273098,329.7
179273113,67.9
179273123,79.2
179273126,243.3
179273127,242.8
179273133,9.6
179273147,261.3
179274001,43.2
179274012,52.4
179274013,16.9
179274020,322.1
179274021,137.7
179274023,110.6
179274024,112.2
179274025,22.0
179274026,23.1
179274027,22.1
179274029,151.8
179274030,156.6
179274031,249.9
179274033,310.7
179274036,51.8
179274041,150.4
179274045,136.0
179274056,317.4
179274120,316.4
179274129,62.6
179274133,136.2
179274135,121.1
179274136,269.7
179274138,49.9
179275003,81.0
179275048,343.1
179276156,115.8
179276171,250.1
179277022,82.2
180263004,87.6
180263005,178.6
180263006,269.0
180263068,258.4
180263071,264.3
180264001,177.0
180264002,88.8
180264003,179.4
180264004,88.4
180264005,179.9
180264006,268.4
180264007,358.3
180265005,356.8
180265006,358.3
180265007,275.7
180269002,274.8
180269003,286.1
180269004,196.5
180269005,286.1
180269006,286.1
180269011,94.8
180270005,287.6
180270006,14.8
180270010,277.8
180270026,175.9
180270035,104.7
180270052,13.0
180270057,259.1
180270058,201.6
180271016,16.0
180271018,156.6
180271019,11.4
180271020,156.2
180271024,239.2
180271026,342.5
180271027,74.5
180271029,274.5
180271030,274.4
180271031,184.6
180271033,89.4
180271035,3.2
180271036,269.4
180271038,99.9
180271039,279.9
180271040,97.4
180271041,183.9
180271043,3.7
180271044,4.2
180271046,276.4
180271070,70.2
180271093,101.0
180271099,201.7
180271101,284.9
180271160,103.2
180271167,11.4
180271168,90.1
180271173,93.0
180271184,9.2
180271185,184.0
180271186,94.5
180271188,183.2
180271189,3.8
180271190,4.2
180271191,187.0
180271193,283.2
180272002,3.0
180272004,5.4
180272009,40.5
180272011,283.8
180272012,196.2
180272013,107.4
180272015,111.0
180272016,287.3
180272017,285.8
180272021,13.8
180272022,10.2
180272023,15.3
180272025,15.4
180272026,69.9
180272035,158.3
180272038,239.9
180272039,328.8
180272040,242.7
180272042,230.2
180272043,234.8
180272045,343.2
180272047,105.4
180272053,13.1
180272056,13.2
180272061,87.3
180272064,159.8
180272067,157.5
180272116,190.1
180272117,190.7
180272125,95.7
180272128,3.9
180272137,281.8
180272143,28.6
180272160,321.9
180273004,17.8
180273005,19.4
180273006,23.8
180273007,338.5
180273020,339.2
180273021,137.7
180273022,58.7
180273024,290.8
180273055,339.8
180273063,249.3
180273067,67.7
180273078,333.3
180273082,249.3
180273086,337.5
180273088,129.0
180273089,69.3
180273094,47.5
180273147,123.0
180273148,100.6
180273155,275.1
180273157,89.2
180273160,272.5
180273165,267.6
180274003,187.6
180274004,184.1
180274006,359.9
180274008,117.3
180274010,141.8
180274014,231.9
180274020,69.0
180274032,230.6
180274038,94.9
180274039,278.6
180277005,280.1
181262017,182.5
181262033,229.2
181263016,194.5
181263023,338.4
181263026,312.7
181263037,85.3
181263096,213.2
181263120,42.2
181263131,265.9
181263132,261.7
181263136,319.9
181264002,88.6
181264003,178.6
181264017,8.7
181264053,169.9
181265059,14.8
181267002,12.9
181268001,197.7
181268002,287.1
181268011,286.5
181269006,197.0
181269020,100.2
181269027,106.3
181270004,248.0
181270026,222.4
181270029,106.4
181270030,158.0
181270032,344.7
181270033,72.6
181270038,68.0
181270040,252.7
181271006,180.3
181271009,85.8
181271011,265.8
181271013,198.3
181271016,68.9
181271018,337.2
