intersection_id,leg_bearing
180276079,102
176275196,153
180271187,267
600578426,202
192267080,357
185264147,2
600488647,249
187271061,300
182266047,203
189276040,127
180276078,296
191275048,218
177266031,107
186266107,247
183270022,330
182265016,94
186271102,306
177273178,229
177268025,153
183275138,243
189264039,174
600408094,82
190273110,359
600111024,56
600176792,335
181273011,260
189275055,127
189264039,131
183273128,223
186266078,89
185264147,92
192267054,242
184273072,245
600413232,97
182268132,199
600407759,274
190267187,355
187263034,91
185279183,263
194266071,97
187263075,175
600488647,65
600477107,217
183272019,54
600111024,244
186266107,76
600491762,344
177267087,20
180276078,184
186277135,282
183273128,37
191279032,164
189267075,43
193263091,242
185273022,359
600485593,257
184273072,151
183272048,155
181263098,222
186264058,186
183268173,308
187277089,318
195266110,64
196266098,95
188272048,49
192274148,178
189271039,324
183270022,158
186266097,276
184273085,72
188274083,85
187270060,121
192267080,86
190265087,344
600418191,146
600418191,327
600424823,62
181265007,18
190266032,16
183271208,166
181269032,107
600418434,154
600451477,145
600485593,72
600412989,38
187264081,255
190273110,112
188274037,117
190267187,156
183277135,61
185273145,309
181262039,182
185273146,179
176275201,152
600451477,240
190267098,262
185275034,285
600412983,299
600509667,111
