task_id,set_id,alt1_att1_streetview,alt1_att2_intensiteit,alt2_att1_streetview,alt2_att2_intensiteit
1,1,/assets/images/182270019.jpeg,Middelmatig,/assets/images/186275023.jpeg,Laag
2,1,/assets/images/184273072.jpeg,Middelmatig,/assets/images/600111024.jpeg,Hoog
3,1,/assets/images/181265038.jpeg,Hoog,/assets/images/182272213.jpeg,Hoog
4,1,/assets/images/183272020.jpeg,Hoog,/assets/images/188278029.jpeg,Hoog
5,1,/assets/images/181277036.jpeg,Middelmatig,/assets/images/188266127.jpeg,Middelmatig
6,1,/assets/images/181273107.jpeg,Laag,/assets/images/600488624.jpeg,Hoog
7,1,/assets/images/184273072.jpeg,Middelmatig,/assets/images/600488624.jpeg,Hoog
8,1,/assets/images/600409842.jpeg,Hoog,/assets/images/600483010.jpeg,Laag
9,1,/assets/images/183263020.jpeg,Middelmatig,/assets/images/194264006.jpeg,Middelmatig
10,1,/assets/images/182274179.jpeg,Middelmatig,/assets/images/190273120.jpeg,Hoog
11,1,/assets/images/181271108.jpeg,Laag,/assets/images/182270019.jpeg,Middelmatig
12,1,/assets/images/178273039.jpeg,Laag,/assets/images/191272052.jpeg,Middelmatig
13,1,/assets/images/176275195.jpeg,Hoog,/assets/images/183272020.jpeg,Hoog
14,1,/assets/images/178273039.jpeg,Laag,/assets/images/183263020.jpeg,Middelmatig
15,1,/assets/images/181272016.jpeg,Laag,/assets/images/600483010.jpeg,Laag
16,1,/assets/images/181265038.jpeg,Hoog,/assets/images/183272020.jpeg,Hoog
17,1,/assets/images/177273181.jpeg,Middelmatig,/assets/images/186275043.jpeg,Hoog
18,1,/assets/images/183272020.jpeg,Hoog,/assets/images/600483010.jpeg,Laag
19,1,/assets/images/183277002.jpeg,Middelmatig,/assets/images/187265053.jpeg,Hoog
20,1,/assets/images/178273039.jpeg,Laag,/assets/images/183272020.jpeg,Hoog
21,1,/assets/images/181277036.jpeg,Middelmatig,/assets/images/188274050.jpeg,Laag
22,1,/assets/images/176275195.jpeg,Hoog,/assets/images/183277002.jpeg,Middelmatig
23,1,/assets/images/182274179.jpeg,Middelmatig,/assets/images/600097669.jpeg,Hoog
24,1,/assets/images/183277002.jpeg,Middelmatig,/assets/images/600483010.jpeg,Laag
25,1,/assets/images/180271045.jpeg,Laag,/assets/images/600483010.jpeg,Laag
26,1,/assets/images/183263020.jpeg,Middelmatig,/assets/images/183278091.jpeg,Middelmatig
27,1,/assets/images/186274160.jpeg,Hoog,/assets/images/189267114.jpeg,Middelmatig
28,1,/assets/images/181265038.jpeg,Hoog,/assets/images/600097669.jpeg,Hoog
29,1,/assets/images/179265077.jpeg,Hoog,/assets/images/183277002.jpeg,Middelmatig
30,1,/assets/images/186275130.jpeg,Laag,/assets/images/191269022.jpeg,Hoog
31,1,/assets/images/176275195.jpeg,Hoog,/assets/images/187271099.jpeg,Middelmatig
32,1,/assets/images/176275195.jpeg,Hoog,/assets/images/600483010.jpeg,Laag
33,1,/assets/images/183277002.jpeg,Middelmatig,/assets/images/192266023.jpeg,Middelmatig
34,1,/assets/images/178273039.jpeg,Laag,/assets/images/187263039.jpeg,Laag
35,1,/assets/images/186273103.jpeg,Hoog,/assets/images/186279088.jpeg,Hoog
36,1,/assets/images/178273039.jpeg,Laag,/assets/images/191275054.jpeg,Laag
37,2,/assets/images/176275195.jpeg,Hoog,/assets/images/600483010.jpeg,Laag
38,2,/assets/images/179265069.jpeg,Hoog,/assets/images/185274084.jpeg,Hoog
39,2,/assets/images/185273145.jpeg,Hoog,/assets/images/189267114.jpeg,Middelmatig
40,2,/assets/images/189276040.jpeg,Hoog,/assets/images/600488624.jpeg,Hoog
41,2,/assets/images/181277036.jpeg,Middelmatig,/assets/images/190267091.jpeg,Laag
42,2,/assets/images/187274156.jpeg,Hoog,/assets/images/190273120.jpeg,Hoog
43,2,/assets/images/184273056.jpeg,Middelmatig,/assets/images/184273072.jpeg,Middelmatig
44,2,/assets/images/178273039.jpeg,Laag,/assets/images/185277012.jpeg,Laag
45,2,/assets/images/183268031.jpeg,Laag,/assets/images/191269022.jpeg,Hoog
46,2,/assets/images/183263020.jpeg,Middelmatig,/assets/images/184263029.jpeg,Middelmatig
47,2,/assets/images/184267042.jpeg,Middelmatig,/assets/images/600483010.jpeg,Laag
48,2,/assets/images/185274093.jpeg,Middelmatig,/assets/images/600483010.jpeg,Laag
49,2,/assets/images/181265038.jpeg,Hoog,/assets/images/187270060.jpeg,Middelmatig
50,2,/assets/images/181277036.jpeg,Middelmatig,/assets/images/184268129.jpeg,Hoog
51,2,/assets/images/183272020.jpeg,Hoog,/assets/images/600483010.jpeg,Laag
52,2,/assets/images/179274126.jpeg,Hoog,/assets/images/183272020.jpeg,Hoog
53,2,/assets/images/184273072.jpeg,Middelmatig,/assets/images/189275160.jpeg,Laag
54,2,/assets/images/182270019.jpeg,Middelmatig,/assets/images/600483010.jpeg,Laag
55,2,/assets/images/180271187.jpeg,Middelmatig,/assets/images/183272020.jpeg,Hoog
56,2,/assets/images/178273039.jpeg,Laag,/assets/images/190264011.jpeg,Laag
57,2,/assets/images/178273039.jpeg,Laag,/assets/images/183272020.jpeg,Hoog
58,2,/assets/images/183277002.jpeg,Middelmatig,/assets/images/187265053.jpeg,Hoog
59,2,/assets/images/182270019.jpeg,Middelmatig,/assets/images/183263018.jpeg,Laag
60,2,/assets/images/183277002.jpeg,Middelmatig,/assets/images/600483010.jpeg,Laag
61,2,/assets/images/180271187.jpeg,Middelmatig,/assets/images/186274160.jpeg,Hoog
62,2,/assets/images/183263020.jpeg,Middelmatig,/assets/images/183264037.jpeg,Laag
63,2,/assets/images/182270019.jpeg,Middelmatig,/assets/images/185276028.jpeg,Laag
64,2,/assets/images/176275195.jpeg,Hoog,/assets/images/183277002.jpeg,Middelmatig
65,2,/assets/images/183268167.jpeg,Laag,/assets/images/183277002.jpeg,Middelmatig
66,2,/assets/images/181263098.jpeg,Hoog,/assets/images/181265038.jpeg,Hoog
67,2,/assets/images/183277002.jpeg,Middelmatig,/assets/images/188269140.jpeg,Middelmatig
68,2,/assets/images/186274160.jpeg,Hoog,/assets/images/600097669.jpeg,Hoog
69,2,/assets/images/181265038.jpeg,Hoog,/assets/images/188274022.jpeg,Middelmatig
70,2,/assets/images/181277036.jpeg,Middelmatig,/assets/images/182268014.jpeg,Hoog
